Name,Absolute_magnitude,Color_index,Diameter_km,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
Una,9.15,0.72,81.2,50.6691,8.592547,3.82348,0.06715026,2.72956377
Athor,9.18,0.72,44.2,294.852834,18.550491,9.057735,0.13688512,2.37995257
Laurentia,8.97,0.76,99.1,115.716469,35.446072,6.091576,0.18216002,3.01661066
Erigone,9.76,0.70,72.6,298.581042,160.042707,4.816338,0.19243455,2.36577459
Eva,8.86,0.68,104.9,284.006537,76.789552,24.477032,0.34718557,2.63097851
Loreley,7.85,0.74,155.2,345.000743,302.453008,11.236121,0.08399526,3.12459264
Urda,9.25,0.86,39.9,128.188807,166.10612,2.217537,0.03759444,2.85202891
Sibylla,8.10,0.75,148.4,175.959724,205.921238,4.670416,0.07472446,3.37539493
Zelia,9.54,0.85,33.6,334.760799,354.730639,5.501151,0.13058341,2.35836906
Maria,9.35,0.89,44.3,158.022259,301.210659,14.359709,0.0617327,2.55463428
Ophelia,8.65,0.69,116.7,55.545652,100.467553,2.54662,0.13200702,3.13051627
Baucis,8.77,0.90,62.4,359.305876,331.903825,10.017713,0.11478264,2.37909591
Ino,8.00,0.70,154.1,228.793653,148.171906,14.198488,0.20995094,2.74229163
Phaedra,8.37,0.86,69.2,290.25679,327.62366,12.107717,0.14186294,2.86507802
Andromache,8.61,0.70,100.9,319.741633,21.268827,3.219243,0.23258856,3.18362565
Irma,9.69,0.73,73.2,39.50408,346.967328,1.381542,0.23416893,2.77194385
Belisana,9.44,0.90,35.8,211.740956,51.083567,1.8935,0.04208646,2.46000559
Klytaemnestra,8.16,0.83,77.7,104.242489,251.838871,7.815614,0.10993055,2.97420706
Garumna,10.25,0.83,32.7,175.963878,311.839819,0.867558,0.1678529,2.72145453
Eucharis,7.95,0.80,106.0,318.835019,143.010106,18.891345,0.20758167,3.1262886
Elsa,9.20,0.89,43.7,310.698908,107.179565,2.005444,0.18710363,2.41536899
Istria,9.54,0.84,35.4,263.995377,141.87581,26.395919,0.34842971,2.79462517
Dejopeja,8.44,0.71,66.5,212.010423,331.546229,1.138362,0.06349869,3.19411869
Eunike,7.71,0.68,157.5,223.764632,153.761704,23.253675,0.12732236,2.73889834
Celuta,9.01,0.84,50.0,315.506921,14.717269,13.186662,0.14961787,2.36233704
Lamberta,8.30,0.71,131.2,196.70627,21.673108,10.582405,0.24054611,2.72827658
Menippe,9.35,0.89,38.6,69.83207,240.825758,11.703624,0.17930773,2.76038987
Phthia,9.36,0.90,37.7,169.252344,203.341723,5.175659,0.03593188,2.45048789
Kolga,9.02,0.68,101.0,226.250358,159.190361,11.524011,0.08766359,2.89484141
Nausikaa,7.18,0.94,103.3,30.604956,343.099417,6.798162,0.24607449,2.40317411
Prokne,7.87,0.73,168.4,163.148945,159.261991,18.510014,0.23745632,2.61688246
Eurykleia,9.21,0.69,85.7,117.113727,6.974937,6.96975,0.04141438,2.88088031
Philomela,6.63,0.86,136.3,203.487036,72.298,7.262514,0.01496896,3.11355408
Arete,9.45,0.89,29.2,245.98981,81.576413,8.788914,0.16324303,2.73953676
Ampella,8.53,0.88,57.2,89.157376,268.215789,9.321272,0.22797283,2.45903632
Dynamene,8.45,0.71,128.4,86.924309,324.258486,6.898354,0.13275697,2.73802966
Penelope,8.47,0.71,68.4,180.997706,156.913187,5.756106,0.17919106,2.67927983
Chryseis,7.59,0.86,86.2,359.74653,136.713506,8.850019,0.10423578,3.07012018
Pompeja,8.89,0.70,116.3,60.038557,347.709043,3.171836,0.05955595,2.73688572
Kallisto,8.93,0.82,48.6,55.506755,205.080271,8.287135,0.17362107,2.67075421
Martha,9.49,0.69,80.9,173.622792,211.722808,10.704275,0.03720487,2.77997238
Hedda,10.13,0.73,58.7,192.212315,29.142303,3.80242,0.02957483,2.28406636
Lacrimosa,9.20,0.80,41.3,128.268534,4.151248,1.744767,0.01068521,2.89141485
Dido,8.30,0.69,159.9,249.829849,0.636454,7.17,0.05513117,3.14677295
Isabella,9.44,0.67,86.7,14.243632,32.557782,5.261143,0.12438548,2.72284859
Isolda,8.03,0.72,143.2,173.36201,263.176429,3.873083,0.15514505,3.04677907
Medea,8.41,0.70,136.1,105.316108,312.925117,4.27765,0.10290944,3.1172296
Lilaea,9.01,0.64,83.0,162.502844,122.017589,6.801173,0.14412046,2.75257795
Aschera,9.31,0.70,23.2,136.059537,341.926148,3.437515,0.03042865,2.61069235
Oenone,9.52,0.84,35.5,317.898091,24.901376,1.681578,0.03384557,2.76707162
Kleopatra,7.08,0.70,135.1,179.719841,215.313036,13.120498,0.25127787,2.79424598
Bianca,8.60,0.86,60.6,62.439558,170.565163,15.198383,0.11665974,2.66759784
Thusnelda,9.28,0.87,40.6,142.709803,200.774918,10.864916,0.22310327,2.35450355
Eos,7.80,0.79,103.9,192.518462,141.73632,10.891904,0.10191869,3.01138415
Lucia,9.70,0.66,54.9,181.832333,80.123354,2.149056,0.13081552,3.14114553
Rosa,9.91,0.71,87.6,65.406551,47.537398,1.923773,0.1200652,3.09127786
Oceana,8.68,0.75,61.8,282.640532,352.748241,5.845919,0.04509863,2.64430371
Henrietta,8.85,0.66,120.5,103.854198,197.031327,20.852741,0.26248285,3.39383448
Agathe,12.31,0.92,9.3,19.187194,313.285545,2.536255,0.24204409,2.20126272
Adelinda,9.23,0.71,93.2,309.089336,27.827386,2.077283,0.13703246,3.42106938
Athamantis,7.55,0.85,109.0,139.022554,239.772918,9.454853,0.06178263,2.38201328
