Name,Absolute_magnitude,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
2008VY23,17.84,237.445238,208.854292,5.476373,0.19965391,2.38164553
2009BH140,17.39,118.064823,319.158156,7.192858,0.25385391,2.53562896
2009HD25,16.95,3.080594,214.505835,16.555888,0.24070059,2.60672776
1995SF35,17.56,62.625299,18.874538,6.187818,0.25617212,2.54897832
2000SD302,17.46,7.539795,7.570044,9.695368,0.17761765,2.36198831
2005QL3,16.18,39.903892,328.483939,10.034963,0.31879277,3.15889046
2011UM47,17.59,49.466696,28.03881,7.252276,0.07628531,2.3386053
2003JC3,16.69,191.941012,37.815376,12.566265,0.04357972,2.879278
2005SF231,16.56,223.104393,154.89451,8.932516,0.20498258,2.74312321
2007VK327,17.58,56.485163,295.890558,3.54977,0.23556442,2.33522478
2009OL,16.22,350.439752,304.04084,14.051569,0.17076252,2.7044569
2002VY124,17.34,307.531524,96.855853,7.565424,0.1954189,2.48355514
2006ST306,17.36,334.591909,105.60349,3.162964,0.18359476,2.44487207
2008PR15,15.93,74.045614,310.870228,14.624526,0.24345446,3.1151427
2009XV20,15.18,149.989076,297.485549,27.553868,0.15216223,3.16874404
2013LX22,17.55,180.837796,114.304164,7.861939,0.17051671,2.26328625
2010XU13,17.70,189.035228,294.963678,4.595615,0.06815992,2.2163941
2005EA159,17.86,260.814333,332.925378,0.735407,0.14543368,2.35107952
2005XR48,17.44,299.950632,60.817393,2.623395,0.19458297,2.60312751
2006UL331,17.17,46.657373,352.858736,7.255871,0.11639869,2.36473279
2009SV104,15.06,200.16867,290.331343,26.731817,0.11864593,3.12247559
2009SW254,16.46,200.385734,112.017963,14.183211,0.18368108,2.54222255
2004TQ72,16.71,319.653482,36.645404,6.482573,0.05172261,2.73055995
2005UT176,16.85,84.775664,41.818611,11.878111,0.24628273,2.54365934
2005WB69,16.17,192.115455,251.594606,13.93544,0.22337951,2.59941332
2008ST283,16.99,48.72055,341.045383,7.140555,0.04466082,2.91799372
1997HF,16.64,308.340573,214.590663,8.501088,0.08934482,2.78917593
2004RO340,15.78,160.053814,263.559473,14.317535,0.05525073,2.64159818
2005AA79,13.70,344.557036,330.110234,18.524845,0.03256531,5.21657049
2006EX72,16.71,75.658142,26.325249,3.917526,0.11322813,2.7784298
2006SZ355,18.04,322.82483,45.69378,7.589376,0.19460967,2.28646307
1995OH5,18.14,256.612347,140.408836,3.302813,0.21074313,2.32056722
2011FA18,17.42,307.37706,267.487948,1.919858,0.13890155,2.42099543
2002RB178,16.67,57.18334,345.605995,12.781346,0.33765995,3.0581659
2008SL244,16.45,330.589446,40.043374,15.593837,0.16249667,2.80366876
2008UH205,16.36,220.926998,129.092948,17.412041,0.25202916,2.64390413
1995ST49,18.38,316.260252,63.216969,2.510789,0.22772441,2.31363917
2007VY142,16.52,196.266724,216.955731,5.471639,0.14852636,3.05084831
2012UE48,16.80,192.431631,65.012981,5.413021,0.01841682,2.78657273
2005GV106,17.20,132.364453,21.766459,4.518207,0.01567427,2.80416439
2007RU115,17.19,140.128224,255.502051,2.918068,0.10523714,2.80607185
2009DH121,16.90,240.812343,178.633014,2.31383,0.02305027,2.87565029
2012TH129,17.95,260.123026,88.23259,2.670473,0.13032393,2.22809956
2008SK261,16.59,218.779396,194.584242,9.308383,0.05434351,3.04956223
2011QF72,18.07,346.785177,341.594288,6.03611,0.1374462,2.32513479
2011UZ47,17.16,149.94046,232.096165,3.110559,0.19367193,2.78203266
2003SE39,17.53,341.353083,349.825664,2.643601,0.22613115,2.37794062
2008AR35,18.10,93.523918,308.490944,1.842615,0.21097365,2.45730337
2008ES125,16.95,114.596588,322.686605,12.04416,0.22077723,2.56733312
2008YA117,17.84,258.113945,104.071566,6.23823,0.11890229,2.25414361
2009WZ24,16.15,298.222235,110.77524,5.828425,0.17348523,3.12026389
2003TP44,16.22,135.301001,241.287269,9.979713,0.13120338,3.13966111
2004XM46,17.97,170.769016,246.346291,2.212296,0.15458303,2.26453191
2005TQ74,16.95,148.203865,249.107403,3.174421,0.21005468,2.77645817
2006BP280,16.78,226.301007,331.962742,4.553881,0.08569742,3.10697986
2009AE33,17.79,117.813059,145.461404,5.508942,0.0957447,2.40069928
2013LZ20,17.20,1.71082,242.323432,3.927401,0.17609503,2.57743484
2004RA318,17.93,345.197214,296.486837,3.411443,0.15108064,2.18104959
2006UL283,17.79,97.246205,32.519453,5.231897,0.20073459,2.52514576
